id,_origin,name_JP,unit_JP,name,unit,tiles,skins,parse,vals,sort,trait,LV,chance,value,weight,recipeKey,factory,components,defMat,category,tag,detail_JP,detail
563,furniture_pole,,,,,621,,,,furniture,,,,,,,,,,ext,,,
1207,furniture_pole,,,,,521,,,,furniture,,,,,,,,,cedar,ext,,,
564,furniture_pole,ハンガー,,hanger,,635,,,,furniture,,,,,,,,,,,,,
1011,furniture_tall,サイコロ,,dice,,1200,,,,furniture,,,,,,,,ingot,iron,deco,,,
1301,furniture_tall,キャンディースティック,,candy stick,,1156,,,,furniture,,,,,,,,dye,rubinus,deco,,,
1302,furniture_tall,キャンディースティック,,candy stick,,1155,,,,furniture,,,,,,,,dye,rubinus,deco,,,
1310,furniture_tall,門松,,gate pine,,1055,,,,furniture,,11,,,,-,factory_wood,"log@bamboo/3,leaf_palulu/3,rope/2",bamboo,deco,,,
659,statue_god,癒しの女神像,,Healing,statue,3202,,,,furniture,"GodStatue,healing",,,,,,,,onyx,deco,,,
722,furniture_tall,魔術師の像,,mage,statue,"3206,-3206,3207,-3207",,,,furniture,,,,,,,,cutstone,iron,deco,,,
758,statue_god,元素の神像,,Element,statue,3208,,,,furniture,"GodStatue,element",,,,,,,,onyx,deco,,,
759,statue_god,大地の神像,,Earth,statue,3209,,,,furniture,"GodStatue,earth",,,,,,,,onyx,deco,,,
806,statue_god,収穫の神像,,Harvest,statue,3210,,,,furniture,"GodStatue,harvest",,,,,,,,onyx,deco,,,
828,statue_god,幸運の女神像,,Luck,statue,3211,,,,furniture,"GodStatue,luck",,,,,,,,onyx,deco,,,
1190,statue_god,風の女神像,,Wind,statue,3214,,,,furniture,"GodStatue,wind",,,,,,,,onyx,deco,,,
1191,statue_god,機械の神像,,Machine,statue,3215,,,,furniture,"GodStatue,machine",,,,,,,,onyx,deco,,,
487,furniture_tall,キャットタワー,,cat tower,,2822,,,,furniture,PetHouse,,,,,,,log/1,pine,,,,
pillar1,furniture_tall,細い柱,,big pillar,,623,,,,furniture,,,,,,,,rock/1,granite,ext,,,
489,furniture_tall,道案内,,road guide,,624,,tiletype/Obj,,furniture,,,,,,,,ingot/1,chromite,ext,,,
566,furniture_tall,柱,,pillar,,634,,,,furniture,,,,,,,,rock/1,granite,ext,,,
650,furniture_tall,飾り鎧,,decorative armor,,637,,,,furniture,,,,,,,,ingot/1,iron,deco,,,
844,furniture_tall,ツボ,,vase,,650,,,,furniture,Vase,,,,,,,,silt,deco,,,
970,furniture_tall,ツボ,,vase,,662,,,,furniture,Vase,,,,,,,ingot/1,lapis,deco,,,
1017,furniture_tall,ベルの像,,bell,statue,"663,-663,763,-763",,,,furniture,,,0,,,,,ingot/1,gold,deco,,,
1155,furniture_tall,七萬,枚,seven of wan,,"3859,3959,3863,3963",,tiletype/Obj,,furniture,,,0,,,,,ingot/1,mica,deco,,,
1287,furniture_tall,白,枚,white dragon,,"3862,3962,3863,3963",,tiletype/Obj,,furniture,,,0,,,,,ingot/1,mica,deco,,,
1288,furniture_tall,發,枚,green dragon,,"3861,3961,3863,3963",,tiletype/Obj,,furniture,,,0,,,,,ingot/1,mica,deco,,,
1289,furniture_tall,中,枚,red dragon,,"3860,3960,3863,3963",,tiletype/Obj,,furniture,,,0,,,,,ingot/1,mica,deco,,,
1290,furniture_tall,点棒,本,point stick,,3763,,"tiletype/Obj,ele/ball_Chaos/60,ele/ball_Impact/73",,furniture,ThrownConsume,,0,,,,,ingot/1,plastic,throw,throwWeapon,,
1160,furniture_tall,プチ,,putit,,"963,-963,1063,-1063",,tiletype/Obj,,furniture,,10,0,9000,,,,ingot/1,mica,deco,,,
1169,furniture_tall,かたつむり,,snail,,"1161,-1161,1261,-1261",,tiletype/Obj,,furniture,,10,0,11000,,,,ingot/1,plastic,deco,,,
1266,furniture_tall,シャンパンタワー,,champagne tower,,1260,,tiletype/Obj,,furniture,,38,0,16000,,,,ingot/1,rubinus,deco,,,
1269,furniture_tall,巨大カレー,,giant curry,,"1158,-1158,1258,-1258",,tiletype/Obj,,furniture,,45,10,12000,,,,ingot/1,plastic,deco,,,
1291,furniture_tall,古代の戦車,,ancient tank,,1360,"1,2,3",,,furniture,,55,20,22000,480000,,,ingot/1,cherryblossom,deco,randomSkin,,
1284,furniture_tall,異国の屋台,,foreign stall,,1157,,,,furniture,,35,,,,,,plank,oak,deco,exotic,,
1285,furniture_tall,異国の屋台,,foreign stall,,1257,,tiletype/Obj,,furniture,,35,,,,,,plank,oak,deco,exotic,,
1286,furniture_tall,ドールハウス,,doll house,,2115,,"alt/2116,tiletype/Obj",,furniture,DollHouse,24,,,,,,plank,oak,deco,,,
1271,furniture_tall,砂時計,,hourglass,,1159,,,,furniture,,,,,,,,plank,sand,deco,,,
1172,furniture_tall,途方も価値のない錆びた偽物の金塊,,completely worthless rusted fake gold bar,,"1062,-1062,1061,-1061",,tiletype/Obj,,furniture,,10,0,2500,,,,ingot/1,gold,deco,,,
1189,furniture_tall,朽ちたビッグダディ,,decayed Big Daddy,,1060,,,,furniture,,10,0,10000,,,,ingot/1,copper,deco,,,
1238,furniture_tall,ストーブ,,stove,,1160,,,,furniture,,24,,5500,,,factory_metal,"ingot/8,bolt/4",copper,deco,,,
1161,furniture_tall,アイアンメイデン,,iron maiden,,"1163,-1163,1263,-1263",,,,furniture,,,,,,,,ingot/1,iron,deco,,,
1162,furniture_tall,ギロチン,,guillotine,,"1162,-1162,1262,-1262",,,,furniture,,,,,,,,log/1,oak,deco,,,
1235,furniture_tall,野ざらしの杖,,weathered staff,,551,1,,,furniture,,,0,,,,,log/1,oak,ext,randomSkin,,
1237,furniture_tall,積み石,,stone tower,,547,"1,2,3",,,furniture,,,0,,,,,rock/1,granite,ext,randomSkin,,
1239,furniture_tall,積み石,,stone tower,,541,"1,2,3,4,5",,,furniture,,,0,,,,,rock/1,granite,ext,randomSkin,,
868,furniture_tall,漁網,,fishing net,,651,,,,furniture,,,,,,,,,,ext,,,
994,furniture_tall,のぼり,,banner,,3400,,,,furniture,,,,,,,,texture,paper,ext,exotic,,
995,furniture_tall,のぼり,,banner,,3401,,,,furniture,,,,,,,,texture,paper,ext,exotic,,
996,furniture_tall,のぼり,,banner,,3402,,,,furniture,,,,,,,,dye,rubinus,ext,exotic,,
997,furniture_tall,のぼり,,banner,,3403,,,,furniture,,,,,,,,texture,hemp,ext,exotic,,
1079,furniture_tall,のぼり,,banner,,3404,,,,furniture,,,,,,,,texture,paper,ext,exotic,,
1273,furniture_tall,のぼり,,banner,,"3405,3406",,,,furniture,,,,,,,,texture,paper,ext,exotic,,
811,furniture_wall,飾られた弓,,bows,rack,817,,,,furniture,,,,,,,,log/1,cedar,,,,
1024,furniture_wall,舵輪,,wheel,,818,,,,furniture,,,,,,,,log/1,oak,,,,
817,furniture_wall,飾られた兜,,helms,rack,927,,,,furniture,,,,,,,,log/1,cedar,,,,
818,furniture_wall,壁掛け棚,,wall rack,,928,,,,furniture,,,,,,,,log/1,cedar,,,,
1054,furniture_wall,壁掛け棚,,wall rack,,822,,,,furniture,,,,,,,,log/1,cedar,,,,
1296,furniture_wall,壁掛けかがり火台,,wall brazier,,1006,1,,,furniture,,27,,,,,factory_stone,"cutstone/5,bonfire",chromite,,randomSkin,,
981,furniture_wall,ハンガーラック,,hanging rack,,933,,,,furniture,,,,,,,,log/1,cedar,,,,
982,furniture_wall,ハンガーラック,,hanging rack,,934,,,,furniture,,,,,,,,log/1,cedar,,,,
1145,furniture_wall,壁掛け棚,,wall rack,,935,,,,furniture,,,,,,,,log/1,cedar,,,,
1146,furniture_wall,壁掛け棚,,wall rack,,936,,,,furniture,,,,,,,,log/1,cedar,,,,
1265,furniture_wall,だんだんキノコ,,tiered mushroom,,937,100,,,furniture,,23,,500,,,factory_wood,"log/2,nail/4,#mushroom/6",cedar,,randomSkin,,
831,furniture_wall,鏡,,mirror,,850,,,,furniture,,,,,,,,log/1,cedar,,,,
848,furniture_wall,鏡,,mirror,,851,,,,furniture,,,,,,,,log/1,cedar,,,,
851,furniture_wall,時計,,clock,,952,,"ex/amb_clock,anime/4/500",,furniture,Clock,,,,,,,log/1,cedar,,,,
889,furniture_wall,ロープ,,rope,,853,,,,furniture,,,,,,,,string,hemp,,,,
1192,furniture_wall,通気口,,vent,,2419,,,,furniture,,15,,800,,,factory_wood,"plank/4,nail/2",oak,,,,
857,furnitureL,マスト,,sailing,,2410,,,,furniture,,,,,,,,,,ext,,,
858,furnitureL,オール,,oar,,2411,,,,furniture,,,,,,,,,,ext,,,
859,furnitureL,オール,,oar,,2412,,,,furniture,,,,,,,,,,ext,,,
1268,furnitureL,大地を担ぐオパートスの像,,Opatos bearing the earth,statue,2620,,,,furniture,,40,100,12000,14000,,,,basalt,ext,,,
1311,furnitureL_huge,巨像,,giant statue,,2822,,,,furniture,,40,100,12000,14000,,,,granite,ext,randomSkin,,
1312,furnitureL_huge,巨像,,giant statue,,2622,1,,,furniture,,40,100,12000,14000,,,,granite,ext,randomSkin,,
1305,furnitureL,大きな切り株,,huge tree stump,,2423,,tiletype/ObjHuge,,furniture,,,,,,,,log/10,oak,ext,,,
1283,furnitureL,石碑,,rock monument,statue,1619,,tiletype/ObjHuge,,furniture,,,,,20000,,,rock,granite,ext,,,
721,furnitureL_huge,騎士の像,,knight,statue,2402,,,,furniture,,,,,,,,cutstone,iron,deco,,,
833,furnitureL_huge,振り子時計,,pendulum clock,,1812,,"ex/amb_clock,anime/4/500",,furniture,Clock,,,,,,,,,_furniture,,,
1076,furnitureL_huge,ゴーストの像,,ghost,statue,2413,,,,furniture,,,0,,,,,texture,cotton,deco,,,
1111,furnitureL_huge,月,,moon,,"2416,-2416,2417,-2417",,,,furniture,,,0,,2500000,,,rock,granite,deco,,,
1122,furnitureL_huge,混沌キノコ,,chaos mushroom,,2418,,,,furniture,,,0,,,,,dye,lapis,deco,,,
1123,furnitureL_huge,マカロン,,macaron,,2419,,,,furniture,,20,0,12000,,,,dye,opal,deco,,,
1124,furnitureL_huge,マンドレイク,,mandrake,,"2420,2421,2422",,,,furniture,,,0,,,,,dye,jade,deco,,,
1181,furnitureL_huge,サギ,,caladrius,,2621,,,,furniture,,,0,,,,,dye,onyx,deco,,,
832,furnitureL_wall,巨大な黒板,,huge blackboard,,1611,,,,furniture,,,,,,,,rock/1,granite,,,,
1149,furnitureS,箱,,box,,1637,,alt/1638,,furniture,"Container,3,3,crate",,,,,,,log/1,cedar,container,,,
856,furnitureS,カセットテープ,,cassette tape,,1728,,unique,,furniture,Tape,,0,,,,,ingot,onyx,mech,,,
874,furnitureS,ラジオ,,radio,,1729,,,,furniture,Radio,,,,,,,ingot,onyx,mech,,,
959,furnitureS,占い水晶,,fortune telling crystal,,1636,,,,furniture,,,,,,,,glass,crystal,junk,,,
960,furnitureS,占い台,,pedestal,,1635,,,,furniture,,,,,,,,dye/1,lapis,_furniture,,,
1018,furnitureS,プレゼントボックス,,gift box,,1810,,,,furniture,,,,,,,,dye,silver,,,,
1151,furnitureS,しめ縄,,sacred rope,,"2958,2959",,,,furniture,,,,,,,,texture,paper,ext,exotic,,
569,furnitureS,短いポール,,short pole,,1300,,,,furniture,,,,,,,,,pine,ext,,,
484,furnitureS,キノコのテーブル,,mushroom table,,1507,,,,furniture,,7,,,,,factory_wood,"log/2,#mushroom/4",pine,table,,,
483,furnitureS,サイドテーブル,,side table,,1621,,,,furniture,,,,,,,,,pine,table,,,
568,furnitureS,サイドテーブル,,side table,,1622,,,,furniture,,,,,,,,,wood_birch,table,,,
570,furnitureS,サイドテーブル,,side table,,1623,,,,furniture,,,,,,,,texture/1,cotton,table,,,
1215,furnitureS,サイドテーブル,,side table,,1544,,,,furniture,,,,,,,,,cherryblossom,table,,,
1258,furnitureS,サイドテーブル,,side table,,1553,,,,furniture,,,,,,,,,,table,,,
893,furnitureS,テーブル,,table,,1721,,,,furniture,,,,,,,,,pine,table,,,
572,furnitureS,テレビ台,,TV table,,1625,,,,furniture,,,,,,,,ingot/1,chromite,table,,,
573,furnitureS,テレビ台,,TV table,,1626,,,,furniture,,,,,,,,ingot/1,chromite,table,,,
567,furnitureS,壊れた樽,,broken barrel,,1808,,,,furniture,,,,,,,,log/1,oak,junk,,,
482,furnitureS,サイドテーブル,,side table,,1514,,,,furniture,,,,,,,,,pine,table,,,
754,furnitureS,箱,,box,,2328,,,,furniture,,,,,,,,log/1,cedar,container,,,
1010,furnitureS,サイドテーブル,,side table,,1533,,,,furniture,,,,,,,,log/1,mahogany,table,,,
1019,furnitureS,サイドテーブル,,side table,,1535,,,,furniture,,,,,,,,log/1,mahogany,table,,,
1020,furnitureS,チェステーブル,,chess table,,1534,,,,furniture,,,,,,,,log/1,mahogany,table,,,
1021,furnitureS,チェステーブル,,chess table,,1536,,,,furniture,,,,,,,,log/1,mahogany,table,,,
1242,furnitureS,異国のチェステーブル,,exotic chess table,,1552,,,,furniture,,,,,,,,log/1,pine,table,exotic,,
1281,furnitureS,サーバーバレル,,serving barrel,,1558,,,,furniture,,,,,,,,log/1,rosewood,table,,,
1206,furnitureS,ししおどし,,exotic device,,2828,,anime/4/200/50/1,,furniture,,,,,,,,rock/1,granite,ext,exotic,,
1208,furnitureS,車止め,,bumping post,,"1745,-1745,1746,-1746",,,,furniture,,,,,,,,log/1,oak,ext,,,
1270,furnitureS,カレーのルー,,curry roux,,"1555,-1555,1554,-1554",,,,furniture,,,,,,,,ingot/1,iron,,,,
1303,furnitureS,流木,本,driftwood,,2053,"1,2",,,furniture,,,,,,,,log/3,oak,ext,randomSkin,,
1304,furnitureS,根っこ,,tree root,,2056,1,,,furniture,,,,,,,,branch/1,oak,ext,randomSkin,,
877,gacha,ジャンクガチャ,,junk gacha,,,,,,furniture,"Gacha,Junk",,,,,,,,cobalt,,,,
878,gacha,鉢植えガチャ,,plant pot gacha,,,,,,furniture,"Gacha,Plant",,,,,,,,opal,,,,
1166,gacha,家具ガチャ,,furniture gacha,,,,,,furniture,"Gacha,Furniture",,,,,,,,rubinus,,,,
1028,lever,ブレイカー,,breaker,,,,,,furniture,LeverBreaker,,,,,,,,,,,,
1116,leverS,,,,,1741,,,,furniture,,,,,,,,,,,,,
1117,leverS,,,,,1743,,,,furniture,,,,,,,,,,,,,
589,roadsign,,,,,"1920,-1920,1920,-1920",,,,furniture,,7,,500,,,factory_sign,"log/2,nail/1",,,,,
588,roadsign,,,,,,,,,furniture,,7,,500,,,factory_sign,"log/2,nail/1",,,,,
977,screen,,,,,1529,,,,furniture,,,,,,,,,,,,,
450,screen,,,,,1627,,,,furniture,,,,,,,,log/1,pine,,,,
449,screen,,,,,,,,,furniture,,,,,,,,,,,exotic,,
432,trainingDummy,藁人,,training dummy,,"2825,-2825,2925,-2925",,,,furniture,,,,900,,,,"grass/6,stick/2,#head",straw,,,,
431,trainingDummy,,,,,,,,,furniture,,,,1200,,,,"log/5,#head",,,,,
430,trashbin,,,,,1404,,,,furniture,,,,800,,,,"ingot/4,bolt/1",iron,,,,
593,trashbin,,,,,1409,,,,furniture,,,,500,,,,ingot/3,iron,,,,
429,trashbin,,,,,,,,,furniture,,,,,,,factory_wood,,,,,,
978,truck,,,,,1709,,,,furniture,,,,,,,,ingot/1,iron,,,,
391,truck,,,,,1710,,,,furniture,,,,,,,,,,,,,
392,truck,,,,,"1715,-1715,1716,-1716",,,,furniture,,,,,,,,ingot/1,iron,,,,
390,truck,,,,,,,,,furniture,,,,,,,,,,,,,
425,wall_shelf,,,,,"820,-820,920,-920",,,,furniture,,,,,,,,,,,,,
426,wall_shelf,,,,,"821,-821,921,-921",,,,furniture,,,,,,,,,,,,,
598,bed,王子様ベッド,,prince's bed,,1704,,,,furniture_bed,"Bed,2",40,100,25000,64000,,,"ingot/10,texture/12,gem/8,836",rubinus,,,,
599,bed,バンクベッド,,pipe bed,,1705,,,,furniture_bed,"Bed,4",11,,1800,22000,,factory_metal,"scrap/4,$fiber/2",,,,,
459,bed,粗末なベッド,,poor bed,,1605,,,,furniture_bed,,5,,600,8000,,,"plank/4,$fiber/2",pine,,,,
460,bed,簡易ベッド,,makeshift bed,,1606,,,,furniture_bed,"Bed,1",2,,200,1200,*,workbench,"grass/2,leaf/4",straw,,,,
sleepingbag,bed,寝袋,,sleeping bag,,1706,,,,furniture_bed,"Bed,1",6,,900,150,*,self,"fiber/2,skin/2,string/3",hide,,,,
458,bed,石のベッド,,stone bed,,1828,,,,furniture_bed,,10,,1200,32000,,factory_stone,"cutstone/4,rock/2,fiber/2",granite,,,,
457,bed,モダンなベッド,,modern bed,,1928,,,,furniture_bed,,25,,7800,24000,,factory_metal,"ingot/4,texture/4,ic/1",plastic,,,,
456,bed,,,,,,,,,furniture_bed,,20,,5600,28000,,,"plank/2,$dye,texture/4",,,,,
1139,bed,お布団,枚,futon,,"1504,-1504,1505,-1505",,,,furniture_bed,"Bed,1",30,,9200,2400,,loom,"dye/1,texture/4,goodness",pearl,,exotic,,
596,bed_double,王様ベッド,,king's bed,,3100,,,,furniture_bed,"Bed,2",60,10,100000,92000,,,"ingot/16,texture/20,gem/12,836/2,nobility",rubinus,,,,
597,bed_double,二段ベッド,,bunk bed,,3101,,,,furniture_bed,"Bed,8",17,,3400,20000,,factory_metal,"scrap/6,$fiber/4",,,,,
27,chair,丸椅子,,round chair,,1513,,,,furniture_chair,,3,,250,,*,factory_wood,log/2,,,,,
25,chair,,,,,1515,,,,furniture_chair,,3,,250,,,factory_wood,log/2,,,,,
1212,chair,丸太の椅子,,log chair,,1539,,,,furniture_chair,,3,,300,,,factory_wood,log/3,,,,,
1213,chair,デッキチェア,,deck chair,,"1540,-1540,1541,-1541",,,,furniture_chair,,12,,600,,,factory_wood,"texture/2,plank/4",hemp,,,,
1214,chair,座椅子,,foreign chair,,"1542,-1542,1543,-1543",,,,furniture_chair,,12,,500,,,factory_wood,"plank/3,texture/2",rosewood,,,,
30,chair,モダンな椅子,,modern chair,,1521,,,,furniture_chair,,,,450,,,factory_metal,ingot/3,plastic,,,,
29,chair,石の椅子,,stone chair,,1524,,,,furniture_chair,,,,350,,,factory_stone,cutstone/4,granite,,,,
24,chair,カジノの椅子,,casino chair,,1525,,,,furniture_chair,,,,800,,,factory_metal,"dye/1,texture/1,ingot/2",rubinus,,,,
28,chair,ロッキングチェア,,rocking chair,,"1502,-1502,1602,-1602",,,,furniture_chair,,22,,2200,,,factory_wood,"plank/2,texture/2,string/2",,,,,
31,chair,キノコの椅子,,mushroom chair,,1508,,,,furniture_chair,,3,,550,,,factory_wood,"log/1,#mushroom/3",,,,,
26,chair,,,,,"1518,-1518,1519,-1519",,,,furniture_chair,,3,,350,,,factory_wood,plank/2,,,,,
497,chair,,,,,1526,,,,furniture_chair,,,,500,,,loom,"dye/1,texture/2",rubinus,,,,
498,chair,バーの椅子,,bar stool,,1527,,,,furniture_chair,,,,550,,,factory_metal,"dye/1,ingot/2",obsidian,,,,
499,chair,バーの椅子,,bar stool,,1529,,,,furniture_chair,,,,550,,,factory_metal,"dye/1,ingot/2",turquoise,,,,
500,chair,,,,,1530,,,,furniture_chair,,,,400,,,factory_metal,"texture/1,ingot/1",hide,,,,
23,chair,,,,,,,,,furniture_chair,,3,,350,,,factory_wood,"plank/2,nail/1",,,,,
987,chair,変な椅子,,weird chair,,1532,,,,furniture_chair,,,,500,,,factory_metal,ingot/2,plastic,,,,
1052,chair,,,,,1537,,,,furniture_chair,,,,400,,,loom,"texture/2,plank/1",hide,,,,
33,chair_long,石の長椅子,,stone long chair,,1826,,,,furniture_chair,,,,600,,,factory_stone,cutstone/6,granite,,,,
32,chair_long,,,,,,,,,furniture_chair,,,,900,,,,"plank/2,ingot/1",,,,,
860,chair_long,,,,,"1651,-1651,1751,-1751",,,,furniture_chair,,,,600,,,,plank/4,cedar,,,,
1217,chair_long,,,,,1750,,,,furniture_chair,,,,600,,,,"plank/2,log/2",cedar,,,,
976,curtain,,,,,,,,,furniture_chair,,18,,1500,,,,"texture/5,stick/1,string/1",,,,,
35,cushion,,,,,1506,,,,furniture_chair,,,,500,,,,"texture/2,grass/4",,,,,
36,cushion,,,,,1609,,,,furniture_chair,,22,,700,,,,"texture/3,grass/6",,,,,
34,cushion,,,,,,,,,furniture_chair,,,,500,,,,"texture/2,grass/4",,,,,
990,cushion,,,,,1704,,,,furniture_chair,,,,500,,,,"texture/2,grass/4",,,,,
991,cushion,,,,,1705,,,,furniture_chair,,,,500,,,,"texture/2,grass/4",,,,,
992,cushion,,,,,1706,,,,furniture_chair,,22,,700,,,,"texture/3,grass/6",,,,,
993,cushion,,,,,1707,,,,furniture_chair,,22,,700,,,,"texture/3,grass/6",,,,,
1136,cushion,,,,,1703,,,,furniture_chair,,22,,700,,,,"texture/3,grass/6",hide_dragon,,exotic,,
1230,cushion,ハートのクッション,,heart cushion,,1547,,,,furniture_chair,,22,,700,,,,"texture/3,$dye/1",,,,,
964,sofa,,,,,,,,,furniture_chair,,16,,1400,,,,"texture/4,plank/4",,,,,
965,sofa,,,,,"1211,-1211,1311,-1311",,,,furniture_chair,,16,,900,,,,"texture/3,892/2",,,,,
434,throne1,,,,,2836,,,,furniture_chair,,,,,,,,rock/1,granite,,,,
433,throne1,,,,,,,,,furniture_chair,,,,,,,,,,,,,
714,throne1,ボスチェア,,boss chair,,3035,,,,furniture_chair,,,,,,,,dye/1,onyx,,,,
1274,throne1,,,,,3036,,,,furniture_chair,,,,,,,,rock/1,granite,,,,
443,doll,呪い人形,,curse doll,,1616,,,,furniture_deco,,,,,,,,,,,,,
446,doll,クマのぬいぐるみ,,stuffed bear,,"1621,-1621,1721,-1721",,,,furniture_deco,,,,,,,,,,,,,
445,doll,木馬,,rocking horse,,1622,,,,furniture_deco,,,,,,,,log/1,oak,,,,
444,doll,お嬢人形,,doll,,1802,,ele/cute/30,,furniture_deco,,,,,,,,,cotton,,,,
442,doll,,,,,,,,,furniture_deco,,,,,,,,,,,,,
1255,doll,異国の人形,,foreign doll,,2122,,,,furniture_deco,,,,,,,,,cotton,,,,
1228,doll,お嬢人形,,doll,,2123,,"unique,ele/eco/20,ele/cute/40",,furniture_deco,,,0,,,,,,cotton,,,,
1229,doll,妹人形,,younger sister doll,,2124,,"unique,ele/eco/20,ele/cute/40",,furniture_deco,,,0,,,,,,cotton,,,,
61,fence_flower,,,,,1631,,,,furniture_deco,,,,,,,,,,,,,
60,fence_flower,,,,,1628,,,,furniture_deco,,,,,,,,,,,,,
1187,fence_flower,,,,,1731,,,,furniture_deco,,,,,,,,,,,,,
1188,fence_flower,,,,,1728,,,,furniture_deco,,,,,,,,,,,,,
775,mountedStuff,動物の剥製,,mounted animal,,905,,,,furniture_deco,,,,,,,,,,,,,
262,mountedStuff,動物の剥製,,mounted animal,,805,,,,furniture_deco,,,,,,,,,,,,,
263,mountedStuff,動物の剥製,,mounted animal,,806,,,,furniture_deco,,,,,,,,,,,,,
264,mountedStuff,動物の剥製,,mounted animal,,807,,,,furniture_deco,,,,,,,,,,,,,
265,mountedStuff,魚の剥製,,mounted fish,,808,,,,furniture_deco,,,,,,,,,,,,,
266,mountedStuff,魚の剥製,,mounted fish,,809,,,,furniture_deco,,,,,,,,,,,,,
961,mountedStuff,骸骨の剥製,,mounted skelton,,"858,-858,958,-958",,,,furniture_deco,,,,,,,,bone,bone,,,,
962,mountedStuff,骸骨の剥製,,mounted skelton,,"859,-859,959,-959",,,,furniture_deco,,,,,,,,bone,bone,,,,
276,parasol,,,,,2023,,,,furniture_deco,,,,,,,,,,,,,
277,parasol,,,,,2024,,,,furniture_deco,,,,,,,,,,,,,
539,parasol,,,,,2025,,,,furniture_deco,,,,,,,,,,,,,
370,snowman,,,,,1402,,,,furniture_deco,,,,,,,,,,,,,
371,snowman,,,,,1403,,,,furniture_deco,,,,,,,,,,,,,
448,stand_armor,服のスタンド,,cloth stand,,701,,,,furniture_deco,,,,,,,,texture/1,wool,,,,
447,stand_armor,,,,,,,,,furniture_deco,,,,,,,,,,,,,
417,vase,バスケット,,basket,,1503,,,,furniture_deco,,,,,,,,,,,,,
418,vase,バスケット,,basket,,1504,,,,furniture_deco,,,,,,,,,,,,,
867,vase,金魚鉢,,fishbowl,,2732,,anime/4/300/6,,furniture_deco,,,,,,,,,,,,,
1158,vase,金魚鉢,,fishbowl,,2728,,anime/4/300/6,,furniture_deco,,,,,,,,,,,,,
969,vase,飾り皿,,decorative dish,,2530,,,,furniture_deco,,,,,,,,ingot/1,lapis,,exotic,,
1051,vase,彫像,,statue,,2531,,,,furniture_deco,,,,,,,,cutstone,granite,,,,
1053,vase,化石,,fossil,,"2832,2833",,,,furniture_deco,,,,,,,,rock,granite,,,,
393,vase,,,,,2500,,,,furniture_deco,,,,,,,,,,,,,
394,vase,,,,,2501,,,,furniture_deco,,,,,,,,,,,,,
395,vase,,,,,2502,,,,furniture_deco,,,,,,,,,,,,,
396,vase,,,,,2503,,,,furniture_deco,,,,,,,,,,,,,
397,vase,,,,,2504,,,,furniture_deco,,,,,,,,,,,,,
398,vase,,,,,2505,,,,furniture_deco,,,,,,,,,,,,,
399,vase,,,,,2506,,,,furniture_deco,,,,,,,,,,,,,
400,vase,,,,,2507,,,,furniture_deco,,,,,,,,,,,,,
401,vase,,,,,2508,,,,furniture_deco,,,,,,,,,,,,,
402,vase,,,,,2509,,,,furniture_deco,,,,,,,,,,,,,
403,vase,,,,,2510,,,,furniture_deco,,,,,,,,,,,,,
404,vase,,,,,2511,,,,furniture_deco,,,,,,,,,,,,,
405,vase,,,,,2512,,,,furniture_deco,,,,,,,,,,,,,
406,vase,,,,,2513,,,,furniture_deco,,,,,,,,,,,,,
407,vase,,,,,2514,,,,furniture_deco,,,,,,,,,,,,,
408,vase,,,,,2515,,,,furniture_deco,,,,,,,,,,,,,
409,vase,,,,,2516,,,,furniture_deco,,,,,,,,,,,,,
410,vase,,,,,2517,,,,furniture_deco,,,,,,,,,,,,,
411,vase,,,,,2518,,,,furniture_deco,,,,,,,,,,,,,
412,vase,,,,,2519,,,,furniture_deco,,,,,,,,,,,,,
413,vase,バスケット,,basket,,2520,,,,furniture_deco,,,,,,,,,,,,,
414,vase,バスケット,,basket,,2521,,,,furniture_deco,,,,,,,,,,,,,
415,vase,バスケット,,basket,,2522,,,,furniture_deco,,,,,,,,,,,,,
416,vase,,,,,2523,,,,furniture_deco,,,,,,,,,,,,,
643,vase,,,,,2524,,,,furniture_deco,,,,,,,,,,,,,
644,vase,バスケット,,basket,,2525,,,,furniture_deco,,,,,,,,,,,,,
600,vase,バスケット,,basket,,2526,,,,furniture_deco,,,,,,,,,,,,,
669,vase,バスケット,,basket,,2527,,,,furniture_deco,,,,,,,,,,,,,
829,door_boat,船の梯子,,ship ladder,,"2620,-2620,2720,-2720",,,,furniture_door,,36,,2200,,,,"plank/2,rope/2",,,,,
830,door_boat,船の渡し板,,ship boarding plank,,"2621,-2621,2721,-2721",,,,furniture_door,,36,,2400,,,,plank/6,,,,,
37,door_curtain,,,,,2613,,,,furniture_door,,14,,380,,,,"texture/2,stick/1",,,,,
38,door_curtain,,,,,2614,,,,furniture_door,,14,,120,,,,stick/1,,,,,
601,door_curtain,,,,,2615,,,,furniture_door,,14,,380,,,,"texture/2,stick/1",,,,,
602,door_curtain,,,,,2616,,,,furniture_door,,14,,380,,,,"texture/2,stick/1",,,,,
603,door_curtain,,,,,2617,,,,furniture_door,,14,,380,,,,"texture/2,stick/1",,,,,
39,door_fence,,,,,"2604,-2604,2604,-2604",,,,furniture_door,,4,,,,,,"log/2,stick/2",,,,,
40,door_lattice,,,,,"2602,-2602,2602,-2602",,,,furniture_door,,10,,800,,,,"ingot/4,bolt/2",,,,,
